Partners,Balance in value in 2018,Balance in value in 2019,Balance in value in 2020,Balance in value in 2021,Balance in value in 2022,Exported value in 2022,Imported value in 2022
World,-337611444,-341412637,-207778393,-295701053,-563588548,24487201641,25050790189
China,359242930,431820819,531381344,686134200,877602696,3593601450,2715998754
Russian Federation,211195782,178996614,105437367,198812667,370774571,565168039,194393468
Saudi Arabia,159324375,107465565,45178904,115212888,238244470,378261732,140017262
Norway,35442903,16866649,1109055,61843562,164398647,271667221,107268574
Australia,26821643,58305903,52254391,96706503,112052313,402166083,290113770
Viet Nam,6829875,11168307,20132005,5040317,105496473,469548577,364052104
Qatar,53208687,43756891,25669272,59217888,97485461,130964473,33479012
Germany,270614537,250659815,206976413,208271113,87385783,1658442825,1571057042
Iraq,43852210,34963606,12726488,25933159,85047376,129864681,44817305
Ireland,57464238,68869543,85743765,73242580,71390255,219304152,147913897
Kuwait,36074790,30951204,12414497,31241587,63759550,90476501,26716951
United Arab Emirates,59496148,48005432,88335837,77630799,62687270,311313710,248626440
Brazil,58658641,46657444,50393417,61406528,61761345,334463079,272701734
Oman,15991906,15216886,4971903,13596168,58299031,80325311,22026280
Malaysia,29824874,33172811,43994031,60967286,58056659,353149561,295092902
Netherlands,66857456,61926767,67264261,73504150,57504624,770306572,712801948
Indonesia,-8496210,-3592741,21684363,35893397,54532046,291979103,237447057
Switzerland,31498653,36937609,27950649,56059940,45348843,402112025,356763182
"Taipei, Chinese",49193964,43606152,59462674,64596524,40916512,478252341,437335829
Singapore,41136956,31377978,45086457,50837197,39561838,515077895,475516057
Kazakhstan,28422697,19366278,8868286,18905589,34347972,84391615,50043643
Angola,25636373,20659095,11703469,22384113,33557888,51268600,17710712
Algeria,-6431854,-5775019,-12299109,1530773,32969284,66736178,33766894
Canada,-9318989,-6594914,-14425230,14185009,29359374,597184953,567825579
Azerbaijan,8028730,5985697,3000598,10500884,23606771,38146630,14539859
"Libya, State of",16567983,13622113,-2944649,15281545,22169588,39505511,17335923
Belgium,13576681,19110415,23623838,16951878,12135093,636424483,624289390
Argentina,-3701285,15990297,12528185,14654975,12105687,88268232,76162545
South Africa,1155207,2203294,16981463,30119797,11736605,123614816,111878211
Papua New Guinea,,5225773,6310999,5155177,11293395,16891841,5598446
